f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,target
13131,B,-461,-3093,-1760,15694,71,A,3249,A,,L,4160,-13960,956,3088,1868,276,4250,B,I,A,-3885,A,10240,B,B,11937,-5356,-23231,-326,,2956,I,-10711,D,-7253,38441,825,-460,J,J,G,-6606,475,G,A,-530,2767,2302,-15106,13,-835,-40323,-7698,-9538,476,-5638,318,-29216,-17670,-8964,-3476,B,2072,411,-7839,204,D,D,0
-13049,A,562,2889,1690,-16276,42,E,,A,265,K,-4468,14076,-713,-3038,-2219,111,-4419,B,I,E,3495,A,-10384,N,E,-11981,5060,23636,412,5010,-3442,H,11280,A,7350,-38867,-809,269,B,,A,6861,-454,C,B,483,-2959,-2440,15156,-174,1241,,7586,10013,-676,5619,-436,29556,18305,9145,3563,A,-1984,-310,7981,162,I,P,0
24531,H,-910,-5401,-2973,29815,127,C,5952,A,-730,A,7620,-26291,1478,5797,3758,537,7907,B,,A,-7367,A,19180,G,B,,-9799,-43927,-447,-9970,5603,,-20384,D,-13905,72019,1367,,F,A,E,-12471,892,P,A,-889,5234,4501,-28194,16,,-75917,-14992,-18073,884,-10477,763,-54641,-33513,-16542,,B,,701,-15145,,A,I,0
-4053,I,216,693,,-4953,-88,A,-972,A,-28,H,-1301,4184,-296,-892,-595,,-1350,B,E,E,757,A,-3070,N,E,-3358,,7194,21,1324,-1050,H,3644,A,2170,-12009,-437,134,B,L,G,2051,-161,L,B,150,-895,-714,4656,-134,631,12728,2285,2978,-255,1596,,9174,5642,2559,882,A,-512,-7,2480,111,,,0
-50931,C,1984,11155,6502,-62114,-36,G,-12673,B,1258,N,-16273,54481,-3015,-11228,-7829,-101,-16595,D,E,C,14613,B,-40395,E,E,-46187,20590,92252,972,20007,-12752,G,43080,C,28493,-150523,-2894,1667,K,H,C,,-2112,A,B,1532,-10680,-10159,58893,-643,4407,159164,30456,38351,-2363,21815,-1943,114318,70815,34857,13488,D,-8498,-1205,31157,148,M,F,0
15678,B,-471,-3248,-1784,18397,-371,A,3988,A,-600,L,5122,-16077,2010,4990,2150,199,4864,B,B,A,,A,12323,A,B,13841,-6220,,-1065,-6317,3070,I,-12622,B,-8034,45932,318,-494,J,J,G,-7282,452,E,A,-744,3651,,-17291,-732,-974,,-8204,-11566,474,-6910,660,-33763,-19196,-9913,-3447,B,2194,376,-9328,122,D,D,0
-1506,I,138,251,220,-2251,-179,A,-409,A,159,H,-485,1759,495,297,-217,240,-775,B,A,E,338,A,-1426,A,B,-1588,802,3716,-100,646,-910,H,1697,,1228,-4960,-187,146,B,L,G,1111,,L,A,,-288,-763,2128,-434,459,6162,1258,1669,-181,679,-2,4227,3181,1498,728,A,-496,-215,1049,42,J,P,0
-11069,I,336,2377,1719,-13836,-128,E,-2865,A,224,K,-3653,12079,-529,-2279,-1632,7,-3768,B,G,E,2893,A,-8837,N,E,-10003,4190,20226,215,4225,-2933,H,9651,D,6477,-32801,-793,285,B,E,A,5847,-242,C,B,321,-2285,-2155,12934,-164,1244,35175,6926,8459,-612,4758,-412,25274,15746,7577,3024,A,-1792,-210,6709,192,I,P,0
-27230,A,,5780,3430,-33181,53,D,-6784,B,589,M,-8749,28838,-1446,-6177,-4245,-177,-8852,D,F,E,7590,A,-21034,P,E,-24317,10488,48826,55,10350,-6775,A,22999,A,15259,-79802,-1540,1142,D,D,A,13953,-717,B,B,833,-5530,-5096,30967,-282,2669,84055,16512,20083,-1282,11412,-1196,60445,37441,18321,7049,A,-4428,-535,16413,222,C,E,0
-6503,I,220,1272,1073,-8226,53,A,-1632,A,140,K,-2008,7033,-219,-1141,-1126,217,-2332,B,I,,1566,A,-5217,N,B,-5916,2667,12150,29,2403,-1860,H,5559,A,3823,-19631,-211,86,,L,A,3460,,,B,45,,-1690,7624,-218,909,21158,3917,5162,-376,2602,,15061,9595,4500,1793,A,-1077,-251,4072,324,J,P,0
-19569,A,897,4219,2555,-23802,5,E,-4980,B,539,,-6289,20849,-1193,-4375,-3022,347,-6555,D,G,E,5506,A,-15625,P,E,-17767,7878,35267,650,7494,-4926,A,16431,D,10906,-57899,-1075,569,D,E,A,10243,-839,C,B,365,-4440,-3831,22638,-330,1847,61272,11364,14776,-1112,8433,-730,43817,27222,13405,5249,A,-3378,-443,11844,114,C,,0
37039,E,-1505,-8388,-4322,44788,72,C,9286,C,-838,D,11905,-39412,2847,8886,5934,242,12252,A,A,A,-10959,A,,,A,33586,-15239,-65906,-1375,-14555,8694,E,-30615,D,-20609,109172,2003,-1218,E,K,E,-18814,1218,D,A,-1124,7789,6757,-42275,5,-2665,,-21457,-27706,1461,,,-82284,-50064,-24864,-9698,B,6046,884,-22616,138,H,O,0
-13481,A,467,2756,1707,-16433,12,E,-3447,A,229,K,-4210,14346,-816,-2835,-2365,217,-4333,B,F,E,3776,A,-10860,J,B,-12201,5372,24245,490,5129,-3412,H,11596,,7540,-39950,-812,325,B,E,A,6914,-449,C,B,,-2848,,15768,-190,1456,42405,8113,10420,-722,5680,-489,30270,18894,9356,3498,A,-2095,-359,8204,162,I,B,0
-26387,A,1129,,3418,-32436,160,E,-6761,B,783,M,,27999,-1498,-6368,,-103,-8525,D,F,E,7338,A,-20552,P,E,-23690,10138,47422,101,10194,-6705,A,22481,D,14923,-77718,-1461,1112,D,D,A,13452,-867,B,B,784,-5436,-4877,30226,-9,,82011,16153,19589,-1144,10916,-811,58912,36400,18119,6796,A,-4298,-755,15942,187,C,E,0
2435,I,153,-242,-447,2722,-345,A,680,A,-113,H,1015,-1907,843,2170,166,378,284,B,E,E,-799,,1142,,A,1487,-320,-2084,,-759,-319,H,-1641,A,-1155,5974,-341,-333,J,L,G,-653,-147,L,,-278,717,-734,-1833,-1268,-67,-4494,-1346,-792,-287,-845,-77,-3664,-870,-724,178,A,12,116,-988,127,J,M,0
447,I,-62,-47,-48,440,89,A,24,A,-87,H,-73,-387,-127,143,-36,587,18,B,E,E,-518,A,0,,B,187,-8,-418,350,,-106,H,-227,D,-453,492,112,,B,L,G,31,142,E,B,-73,17,-110,-400,-218,136,-374,-678,162,-200,-38,-39,-399,-284,-205,81,A,99,-85,-72,192,J,M,1
23028,H,-909,-4890,-2819,27502,35,C,5618,A,-537,A,7456,-24218,1819,6022,3451,161,7390,B,A,A,-6966,A,18139,G,A,20718,-9375,-40308,-1009,-9206,4992,I,-18744,D,-12429,67711,795,,F,A,E,,816,G,A,-877,4992,4051,-26008,-361,-1646,-70069,-13049,-17087,825,-9887,775,-50635,-30280,-15115,-5731,B,3589,535,-14075,-55,A,I,1
-9534,I,365,1962,1239,-11655,-115,E,-2504,A,176,K,-2986,10302,,-1992,-1675,313,-3283,B,I,E,2402,A,-7702,N,B,-8952,4033,17713,370,3729,,H,8190,A,5384,-28724,-502,392,B,E,A,5072,,L,B,234,-1806,-2132,11314,-83,1211,30682,5522,7398,-439,3903,-429,21990,13701,6750,2721,A,-1815,-184,6010,167,J,P,1
-28635,A,1103,5968,3664,-34690,113,D,-7282,B,771,F,-9240,30395,-1694,-6395,-4384,191,-9297,D,I,E,8103,A,-22646,P,B,-25707,11518,51226,548,11128,-7047,A,24012,A,16066,-84603,-1458,962,D,D,A,14789,-899,B,B,843,-5834,-5716,32839,-356,,89175,16682,,-1542,12147,-1000,63844,39386,19369,7412,A,-4805,-757,17363,294,B,E,1
257,I,23,99,83,-116,-192,A,72,A,-158,H,-63,74,43,729,50,440,-125,B,M,E,-279,A,-235,A,A,-201,48,491,253,21,-224,H,12,A,-106,-524,,-182,,L,G,,-208,L,A,-118,120,-626,28,-402,460,1042,-389,589,-198,3,-110,376,800,350,217,A,-307,10,-38,294,J,M,1
-9006,I,542,1813,1082,-10953,32,A,-2304,A,196,K,-2982,9653,-737,-1739,-1442,,-2852,B,F,E,,A,-7426,N,B,-8246,3849,16545,650,3593,-2326,H,7773,A,,-27398,-249,72,B,E,A,4689,-338,L,,323,-1931,-1907,,-206,1044,28609,4890,7368,-555,4057,,20602,12627,,2473,A,-1608,,5525,370,I,P,1
2099,I,-57,-544,,2505,-124,A,363,,-21,H,666,-2231,192,780,,233,437,B,F,E,-851,A,1796,A,B,1801,-874,,,-1049,126,H,-1622,D,-1190,6296,11,-176,J,L,G,-885,,E,A,-158,593,256,-2357,-183,81,-6060,-1052,-1426,-21,-974,159,-4622,-2428,-1254,-507,A,255,123,-1388,51,J,M,1
-18932,A,693,3876,2460,-23177,21,E,-4897,B,464,M,-6045,20095,-1135,-4216,-2993,158,-6236,D,E,E,5192,A,-15269,J,B,-17226,7533,33870,871,7304,-4736,A,16097,A,10562,-56301,-942,585,D,E,,9583,-619,C,B,,-4042,-3751,21818,-167,1879,59140,10761,14544,-1008,8125,-669,42771,25988,13023,5146,A,-3169,-380,11626,283,I,B,1
-15928,A,651,,2039,-19495,-12,E,-4197,A,432,K,-5187,16981,-497,-3136,-2361,-110,-5305,B,I,E,4450,,-12300,,E,-14396,6251,28996,-89,6099,-4289,A,13665,A,9143,-46752,-946,518,D,E,A,8326,-442,C,B,402,-3109,-3318,18538,-293,1570,50036,9882,11749,-740,6555,-560,35962,22910,10928,4286,A,-2685,-465,9805,-78,I,B,1
-41668,K,1617,9019,5298,-50823,-18,D,-10339,B,1023,N,-13538,44733,-2567,-9528,-6329,109,-13720,D,G,C,,B,-33309,H,B,-37880,,75335,1085,16420,-10431,G,35310,A,23437,-123736,-2295,,G,H,C,21697,-1306,J,B,1158,-8941,-8234,48188,-224,3871,130275,24607,31705,-2008,17861,-1481,93877,57895,28594,10859,D,-6979,-1104,25733,32,B,,1
-20561,A,825,4310,2522,-24970,-94,E,,B,382,M,-6501,21780,,-4654,-3229,294,-6887,D,F,E,5665,A,-16370,J,E,-18584,8228,36820,650,7877,-4962,A,17391,A,11517,-61048,-994,412,D,E,A,10499,-563,C,B,353,-4458,-4119,23728,-23,2025,64016,11748,15608,-996,8827,-868,46049,,14036,5441,A,-3321,-456,12472,254,C,B,1
20048,B,-714,-4485,-2385,24248,-107,C,4896,A,-688,L,6561,-21118,1598,5434,2995,445,6359,B,A,A,-6086,A,15724,B,A,18084,-7994,-35304,-474,-8097,4368,I,-16490,D,-11069,58764,925,-772,F,A,E,-9896,690,G,A,-767,4481,3258,-22794,-369,-1457,-61123,-11878,-14861,707,-8720,819,-44054,-26550,-13361,-4665,B,3101,503,-12288,351,A,D,1
-32425,K,1237,7356,3869,-39652,44,D,-8095,B,595,F,-10417,34791,-2001,-6934,-5087,253,-10950,D,E,C,9303,A,-26087,H,E,,,58907,1082,12735,-8265,A,27429,,18135,,-1708,755,,D,C,17028,-1297,B,B,777,-7084,-6515,37765,-321,2957,101967,18904,24967,,13953,-1267,73323,45160,,,D,-5683,-738,19840,330,C,E,1
-8453,I,305,2009,1074,-10776,-53,E,-2019,A,155,K,-2959,9400,-105,-1283,-1557,68,-2885,B,I,E,2210,A,-6728,N,E,-7866,3302,16177,2,3327,-2475,H,,D,,-25503,-772,,B,L,A,4599,-314,C,B,224,-1672,-1873,10131,-593,969,27736,5665,6749,-461,3536,-427,19729,13210,6198,2482,,-1478,-210,5401,213,I,P,1
7683,,,-1838,-995,,-175,A,1707,A,-166,L,2702,-7902,1107,2631,1094,267,2335,B,M,A,-2507,A,5955,A,B,6783,-2972,-12845,-358,-3027,,I,-6361,D,-4088,22545,358,-261,J,J,G,,321,E,A,-379,1974,871,-8448,-507,-282,-22569,-4358,-5334,75,-3244,110,-16563,-9260,-4805,-1570,B,1078,208,-4677,321,J,M,1
29409,H,-1000,-6551,-3483,35404,,C,7220,C,-853,A,9344,-31227,2020,6820,4378,371,9593,A,F,A,-8774,A,23138,G,A,26601,-12044,-52354,-1045,-11880,6703,E,-24240,D,-16431,86650,1607,-986,F,A,E,-14891,1050,P,A,-912,6435,5357,-33786,-10,-2077,,-17275,-21810,1201,-12559,1247,-65232,-39863,-19865,-7521,B,4750,814,-17843,-49,A,I,1
21117,H,-684,-4695,-2251,25785,-76,C,,A,-634,A,6835,-22657,1347,5002,3238,355,6966,B,I,A,-6426,A,16885,G,B,19169,-8946,-37629,-698,-8614,4872,I,-17528,D,-11565,62187,1173,-604,F,A,E,-10892,847,G,A,-774,4487,3887,-24339,51,-1556,-65598,-12460,-15702,920,-9120,846,-47238,-28755,-14374,,B,3593,548,-12823,120,D,I,1
24059,H,-923,-5452,-2962,29283,-62,C,5806,A,-739,A,,-25806,1320,5605,3826,525,7693,B,F,A,,A,18720,G,A,,,-43288,-86,-9668,5587,I,-20175,D,-13721,70918,1575,-1069,,A,E,-12326,730,P,A,-836,5158,4429,-27532,35,,-74470,-15058,-17513,835,-10246,955,-53634,-33214,-16423,-6124,B,3991,806,-14821,373,A,I,1
691,I,201,-84,-97,353,8,A,-65,A,-49,H,273,-369,-107,425,246,355,-45,B,G,E,-181,A,,A,A,477,-253,-521,13,-141,-272,H,-124,A,-186,1060,106,-213,J,L,G,-115,,E,A,-131,240,-80,-249,89,399,-834,-513,3,-272,-402,53,-689,-524,-400,-74,A,-113,-75,-115,310,J,M,1
3748,I,21,-789,-571,4334,-268,A,735,A,-50,H,1100,-3666,433,1601,375,510,928,B,A,A,-1382,A,2444,A,B,2970,-1129,-5586,63,-1479,436,H,-2776,A,-1964,10142,185,-431,J,L,G,-1392,-36,E,A,-187,770,248,-3749,-426,44,-9945,-2811,-1961,-123,-1463,141,-7284,-4115,-2071,-679,A,399,,-2335,191,J,M,1
,B,-408,-2479,-1329,12525,68,A,2531,A,-163,L,3351,-11122,958,3126,1637,231,3246,B,E,A,-3339,A,,B,A,9109,,-17972,-96,-4146,2063,I,-8483,A,-5728,30588,328,-556,J,J,G,-5031,139,E,A,-441,2332,1629,-11390,-408,-627,-31313,-6273,-7268,315,-4490,233,-22740,-13524,-6745,-2320,B,1690,111,,258,D,D,1
-1287,I,92,145,332,-1880,49,A,-437,A,,H,-472,1618,166,-27,-94,158,-303,B,F,E,244,A,-1229,,B,,305,2596,-94,436,-682,H,1301,A,854,-3871,-198,64,B,L,G,855,-196,L,A,41,-112,-545,1662,-248,419,4735,854,1120,-24,602,-64,3376,2416,1071,297,A,-232,-76,914,242,J,M,1
13485,B,-509,-2903,-1634,16341,-167,A,3089,A,-479,L,4425,-14334,844,3797,1960,303,4379,B,F,A,-3961,A,10327,B,A,11933,-5152,,-122,-5309,3017,I,-11055,,-7658,39534,810,,J,J,G,-6699,251,G,A,,2950,2177,-15110,-442,-933,-40703,-8556,-9422,292,-5856,416,-29273,-17805,-8962,-3146,B,2038,334,,325,D,D,1
-21097,A,893,4470,2598,-25625,-160,E,-5227,B,547,M,-6853,22583,-1088,-5054,-3304,-100,-6891,D,E,,5747,A,-16379,P,,-19097,8219,37756,213,8111,-5359,A,17845,A,11773,-61985,-1040,799,D,E,A,,-772,C,B,522,-4329,-3965,24216,-37,2019,65603,12749,15832,-1117,8915,-862,47314,29264,14294,5470,A,-3347,-520,12858,120,C,B,1
27054,H,-1081,-6026,-3295,32788,67,C,6789,C,-557,A,8654,-28804,1857,6495,4227,184,,A,F,A,-7989,A,21475,G,A,24510,-11327,-48224,-860,-10907,6122,E,-22383,B,-15127,79843,1068,-825,F,A,E,-13661,1053,P,A,-864,5772,5044,-31137,190,,-83892,-15651,-20274,1104,-11689,914,-60169,-36603,-18350,-6997,B,4474,920,-16536,12,A,I,1
4160,,101,-862,-526,4935,17,A,1056,A,-258,H,923,,76,825,572,446,1505,,I,A,-1505,A,2732,A,B,3689,-1364,-7226,362,-1610,813,H,-3207,A,-2409,11553,239,-401,J,,G,-2107,156,E,B,-129,816,476,-4501,120,-120,-12309,-3239,-2530,60,-1640,268,-8810,-5828,-2988,-803,B,579,77,-2660,318,J,M,1
-41761,K,1622,9230,5105,-51124,-256,D,-10401,B,987,N,-13367,45224,-2132,-8332,-6621,105,-14005,D,B,C,11912,B,-33617,H,E,-38676,17431,76776,1061,16522,-10805,G,35278,,23298,-124138,-2453,1116,G,H,C,22077,-1609,J,B,1054,-8620,-8666,48603,-1094,3836,132094,24987,32185,-2313,17896,-1660,94944,59359,28930,11496,D,,-998,25767,390,M,N,1
27842,H,-1064,-6133,-3350,33710,79,C,6862,C,-763,A,8838,-29831,2101,6564,4213,319,,,E,A,-8376,A,22480,G,A,25343,,-49814,-854,-11044,6215,E,-23188,D,-15337,82325,1529,-745,F,A,E,-14151,1010,P,A,-857,6061,5242,-31970,-120,-1950,-86434,-16131,,1164,-12327,1140,-62143,-37942,-18957,-7277,B,4620,730,-16900,24,A,I,1
-3953,I,308,1029,681,-4866,-40,A,-1027,A,131,H,-1245,4122,-130,-742,,361,-1321,B,I,E,737,A,-3066,N,B,-3407,1402,7371,-285,1339,-1305,H,3843,D,2335,-11517,-357,167,B,L,G,2013,-5,L,B,-126,-967,-850,4571,-156,670,12412,2577,,-378,1559,-143,8778,5798,2740,925,A,-562,-292,2430,,I,P,1
15005,B,-552,-3491,-1784,18238,-109,A,3603,A,-362,L,4976,-16226,1329,3497,2333,150,5032,B,M,A,-4677,A,12163,B,B,13852,-6512,,-854,-6100,3493,I,-12154,D,-8104,44799,593,-444,J,A,G,-7633,,G,A,-388,3332,2892,-17482,44,-855,-46743,-8624,-11676,652,-6851,747,-33916,-20536,-10185,-4022,B,2647,322,-9383,,D,D,1
-2825,I,257,569,277,-3574,-34,A,-797,A,-232,,-953,3037,-168,-386,-488,352,-995,B,I,E,570,A,,N,E,-2660,1465,5299,351,1114,-845,H,,,,-8821,-145,-197,B,L,G,1589,,L,B,-35,-630,-840,3268,-119,486,9194,975,2542,-373,1241,-110,6765,4116,2010,853,A,-505,-141,1860,95,I,P,1
-17644,A,804,3813,2138,-21710,-273,E,-4463,A,544,M,-5549,19057,-664,-3461,-2795,19,-5909,B,A,E,5120,A,-14103,J,E,-16181,7097,32575,557,6948,-4723,A,15101,A,10040,-52626,-1086,416,D,,,9227,-680,C,B,368,-3614,,20650,-524,1761,56330,10790,13778,-952,7527,-949,40405,25582,12434,4899,A,-3095,-597,10828,194,,B,1
-9380,I,636,1911,1244,-11724,93,E,-2300,A,230,K,-3160,10033,-702,-1934,-1465,348,,B,F,E,,A,-7732,N,B,,3721,17017,405,,-2453,H,8024,A,5081,-28053,-543,170,B,E,A,4815,-363,L,B,242,-1922,-1843,10929,-280,,29572,5265,7256,-751,4067,-450,21191,12796,6451,,A,-1706,-188,5614,91,I,P,1
